,Date,Photosynthetic.rate.accu,Transpiration.rate.accu,Total.conductance.ave,Solar.radiation.accu,Vapor.pressure.deficit.gram.dayave,Vapor.pressure.deficit.gram.nightave,Temperature.outside.chamber.dayave,Temperature.outside.chamber.nightave,Temperature.inside.chamber.dayave,Temperature.inside.chamber.nightave,Year
1,2019/12/7,0.2,20,20,10,5,4,23,18,24,18,2019
2,2019/12/8,0.2,20,20,10,5,4,23,18,24,18,2019
3,2019/12/9,0.2,20,20,10,5,4,23,18,24,18,2019
4,2019/12/10,0.2,20,20,10,5,4,23,18,24,18,2019
5,2019/12/11,0.2,20,20,10,5,4,23,18,24,18,2019
6,2019/12/12,0.2,20,20,10,5,4,23,18,24,18,2019
7,2019/12/13,0.2,20,20,10,5,4,23,18,24,18,2019
8,2019/12/14,0.2,20,20,10,5,4,23,18,24,18,2019
9,2019/12/15,0.2,20,20,10,5,4,23,18,24,18,2019
10,2019/12/16,0.2,20,20,10,5,4,23,18,24,18,2019
11,2019/12/17,0.2,20,20,10,5,4,23,18,24,18,2019
12,2019/12/18,0.2,20,20,10,5,4,23,18,24,18,2019
13,2019/12/19,0.2,20,20,10,5,4,23,18,24,18,2019
14,2019/12/20,0.2,20,20,10,5,4,23,18,24,18,2019
15,2019/12/21,0.2,20,20,10,5,4,23,18,24,18,2019
16,2019/12/22,0.2,20,20,10,5,4,23,18,24,18,2019
17,2019/12/23,0.2,20,20,10,5,4,23,18,24,18,2019
18,2019/12/24,0.2,20,20,10,5,4,23,18,24,18,2019
19,2019/12/25,0.2,20,20,10,5,4,23,18,24,18,2019
20,2019/12/26,0.2,20,20,10,5,4,23,18,24,18,2019
21,2019/12/27,0.2,20,20,10,5,4,23,18,24,18,2019
22,2019/12/28,0.2,20,20,10,5,4,23,18,24,18,2019
23,2019/12/29,0.2,20,20,10,5,4,23,18,24,18,2019
24,2019/12/30,0.2,20,20,10,5,4,23,18,24,18,2019
25,2019/12/31,0.2,20,20,10,5,4,23,18,24,18,2019
26,2020/1/1,0.2,20,20,10,5,4,23,18,24,18,2019
27,2020/1/2,0.2,20,20,10,5,4,23,18,24,18,2019
28,2020/1/3,0.2,20,20,10,5,4,23,18,24,18,2019
29,2020/1/4,0.2,20,20,10,5,4,23,18,24,18,2019
30,2020/1/5,0.2,20,20,10,5,4,23,18,24,18,2019
31,2020/1/6,0.2,20,20,10,5,4,23,18,24,18,2019
32,2020/1/7,0.2,20,20,10,5,4,23,18,24,18,2019
33,2020/1/8,0.2,20,20,10,5,4,23,18,24,18,2019
34,2020/1/9,0.2,20,20,10,5,4,23,18,24,18,2019
35,2020/1/10,0.2,20,20,10,5,4,23,18,24,18,2019
36,2020/1/11,0.2,20,20,10,5,4,23,18,24,18,2019
37,2020/1/12,0.2,20,20,10,5,4,23,18,24,18,2019
38,2020/1/13,0.2,20,20,10,5,4,23,18,24,18,2019
39,2020/1/14,0.2,20,20,10,5,4,23,18,24,18,2019
40,2020/1/15,0.2,20,20,10,5,4,23,18,24,18,2019
41,2020/1/16,0.2,20,20,10,5,4,23,18,24,18,2019
42,2020/1/17,0.2,20,20,10,5,4,23,18,24,18,2019
43,2020/1/18,0.2,20,20,10,5,4,23,18,24,18,2019
44,2020/1/19,0.2,20,20,10,5,4,23,18,24,18,2019
45,2020/1/20,0.2,20,20,10,5,4,23,18,24,18,2019
46,2020/1/21,0.2,20,20,10,5,4,23,18,24,18,2019
47,2020/1/22,0.2,20,20,10,5,4,23,18,24,18,2019
48,2020/1/23,0.2,20,20,10,5,4,23,18,24,18,2019
49,2020/1/24,0.2,20,20,10,5,4,23,18,24,18,2019
50,2020/1/25,0.2,20,20,10,5,4,23,18,24,18,2019
51,2020/1/26,0.2,20,20,10,5,4,23,18,24,18,2019
52,2020/1/27,0.2,20,20,10,5,4,23,18,24,18,2019
53,2020/1/28,0.2,20,20,10,5,4,23,18,24,18,2019
54,2020/1/29,0.2,20,20,10,5,4,23,18,24,18,2019
55,2020/1/30,0.2,20,20,10,5,4,23,18,24,18,2019
56,2020/1/31,0.2,20,20,10,5,4,23,18,24,18,2019
57,2020/2/1,0.2,20,20,10,5,4,23,18,24,18,2019
58,2020/2/2,0.2,20,20,10,5,4,23,18,24,18,2019
59,2020/2/3,0.2,20,20,10,5,4,23,18,24,18,2019
60,2020/2/4,0.2,20,20,10,5,4,23,18,24,18,2019
61,2020/2/5,0.2,20,20,10,5,4,23,18,24,18,2019
62,2020/2/6,0.2,20,20,10,5,4,23,18,24,18,2019
63,2020/2/7,0.2,20,20,10,5,4,23,18,24,18,2019
64,2020/2/8,0.2,20,20,10,5,4,23,18,24,18,2019
65,2020/2/9,0.2,20,20,10,5,4,23,18,24,18,2019
66,2020/2/10,0.2,20,20,10,5,4,23,18,24,18,2019
67,2020/2/11,0.2,20,20,10,5,4,23,18,24,18,2019
68,2020/2/12,0.2,20,20,10,5,4,23,18,24,18,2019
69,2020/2/13,0.2,20,20,10,5,4,23,18,24,18,2019
70,2020/2/14,0.2,20,20,10,5,4,23,18,24,18,2019
71,2020/2/15,0.2,20,20,10,5,4,23,18,24,18,2019
72,2020/2/16,0.2,20,20,10,5,4,23,18,24,18,2019
73,2020/2/17,0.2,20,20,10,5,4,23,18,24,18,2019
74,2020/2/18,0.2,20,20,10,5,4,23,18,24,18,2019
75,2020/2/19,0.2,20,20,10,5,4,23,18,24,18,2019
76,2020/2/20,0.2,20,20,10,5,4,23,18,24,18,2019
77,2020/2/21,0.2,20,20,10,5,4,23,18,24,18,2019
78,2020/2/22,0.2,20,20,10,5,4,23,18,24,18,2019
79,2020/2/23,0.2,20,20,10,5,4,23,18,24,18,2019
80,2020/2/24,0.2,20,20,10,5,4,23,18,24,18,2019
81,2020/2/25,0.2,20,20,10,5,4,23,18,24,18,2019
82,2020/2/26,0.2,20,20,10,5,4,23,18,24,18,2019
83,2020/2/27,0.2,20,20,10,5,4,23,18,24,18,2019
84,2020/2/28,0.2,20,20,10,5,4,23,18,24,18,2019
85,2020/2/29,0.2,20,20,10,5,4,23,18,24,18,2019
86,2020/3/1,0.2,20,20,10,5,4,23,18,24,18,2019
87,2020/3/2,0.2,20,20,10,5,4,23,18,24,18,2019
88,2020/3/3,0.2,20,20,10,5,4,23,18,24,18,2019
89,2020/3/4,0.2,20,20,10,5,4,23,18,24,18,2019
90,2020/3/5,0.2,20,20,10,5,4,23,18,24,18,2019
91,2020/3/6,0.2,20,20,10,5,4,23,18,24,18,2019
92,2020/3/7,0.2,20,20,10,5,4,23,18,24,18,2019
93,2020/3/8,0.2,20,20,10,5,4,23,18,24,18,2019
94,2020/3/9,0.2,20,20,10,5,4,23,18,24,18,2019
95,2020/3/10,0.2,20,20,10,5,4,23,18,24,18,2019
96,2020/3/11,0.2,20,20,10,5,4,23,18,24,18,2019
97,2020/3/12,0.2,20,20,10,5,4,23,18,24,18,2019
98,2020/3/13,0.2,20,20,10,5,4,23,18,24,18,2019
99,2020/3/14,0.2,20,20,10,5,4,23,18,24,18,2019
100,2020/3/15,0.2,20,20,10,5,4,23,18,24,18,2019
101,2020/3/16,0.2,20,20,10,5,4,23,18,24,18,2019
102,2020/3/17,0.2,20,20,10,5,4,23,18,24,18,2019
103,2020/3/18,0.2,20,20,10,5,4,23,18,24,18,2019
104,2020/3/19,0.2,20,20,10,5,4,23,18,24,18,2019
105,2020/3/20,0.2,20,20,10,5,4,23,18,24,18,2019
106,2020/3/21,0.2,20,20,10,5,4,23,18,24,18,2019
107,2020/3/22,0.2,20,20,10,5,4,23,18,24,18,2019
108,2020/3/23,0.2,20,20,10,5,4,23,18,24,18,2019
109,2020/3/24,0.2,20,20,10,5,4,23,18,24,18,2019
110,2020/3/25,0.2,20,20,10,5,4,23,18,24,18,2019
111,2020/3/26,0.2,20,20,10,5,4,23,18,24,18,2019
112,2020/3/27,0.2,20,20,10,5,4,23,18,24,18,2019
113,2020/3/28,0.2,20,20,10,5,4,23,18,24,18,2019
114,2020/3/29,0.2,20,20,10,5,4,23,18,24,18,2019
115,2020/3/30,0.2,20,20,10,5,4,23,18,24,18,2019
116,2020/3/31,0.2,20,20,10,5,4,23,18,24,18,2019
117,2020/4/1,0.2,20,20,10,5,4,23,18,24,18,2019
118,2020/4/2,0.2,20,20,10,5,4,23,18,24,18,2019
119,2020/4/3,0.2,20,20,10,5,4,23,18,24,18,2019
120,2020/4/4,0.2,20,20,10,5,4,23,18,24,18,2019
121,2020/4/5,0.2,20,20,10,5,4,23,18,24,18,2019
122,2020/4/6,0.2,20,20,10,5,4,23,18,24,18,2019
123,2020/4/7,0.2,20,20,10,5,4,23,18,24,18,2019
124,2020/4/8,0.2,20,20,10,5,4,23,18,24,18,2019
125,2020/4/9,0.2,20,20,10,5,4,23,18,24,18,2019
126,2020/4/10,0.2,20,20,10,5,4,23,18,24,18,2019
127,2020/4/11,0.2,20,20,10,5,4,23,18,24,18,2019
128,2020/4/12,0.2,20,20,10,5,4,23,18,24,18,2019
129,2020/4/13,0.2,20,20,10,5,4,23,18,24,18,2019
130,2020/4/14,0.2,20,20,10,5,4,23,18,24,18,2019
131,2020/4/15,0.2,20,20,10,5,4,23,18,24,18,2019
132,2020/4/16,0.2,20,20,10,5,4,23,18,24,18,2019
133,2020/4/17,0.2,20,20,10,5,4,23,18,24,18,2019
134,2020/4/18,0.2,20,20,10,5,4,23,18,24,18,2019
135,2020/4/19,0.2,20,20,10,5,4,23,18,24,18,2019
136,2020/4/20,0.2,20,20,10,5,4,23,18,24,18,2019
137,2020/4/21,0.2,20,20,10,5,4,23,18,24,18,2019
138,2020/4/22,0.2,20,20,10,5,4,23,18,24,18,2019
139,2020/4/23,0.2,20,20,10,5,4,23,18,24,18,2019
140,2020/4/24,0.2,20,20,10,5,4,23,18,24,18,2019
141,2020/4/25,0.2,20,20,10,5,4,23,18,24,18,2019
142,2020/4/26,0.2,20,20,10,5,4,23,18,24,18,2019
143,2020/4/27,0.2,20,20,10,5,4,23,18,24,18,2019
144,2020/4/28,0.2,20,20,10,5,4,23,18,24,18,2019
145,2020/4/29,0.2,20,20,10,5,4,23,18,24,18,2019
146,2020/4/30,0.2,20,20,10,5,4,23,18,24,18,2019
147,2020/5/1,0.2,20,20,10,5,4,23,18,24,18,2019
148,2020/5/2,0.2,20,20,10,5,4,23,18,24,18,2019
149,2020/5/3,0.2,20,20,10,5,4,23,18,24,18,2019
150,2020/5/4,0.2,20,20,10,5,4,23,18,24,18,2019
151,2020/5/5,0.2,20,20,10,5,4,23,18,24,18,2019
152,2020/5/6,0.2,20,20,10,5,4,23,18,24,18,2019
153,2020/5/7,0.2,20,20,10,5,4,23,18,24,18,2019
154,2020/5/8,0.2,20,20,10,5,4,23,18,24,18,2019
155,2020/5/9,0.2,20,20,10,5,4,23,18,24,18,2019
156,2020/5/10,0.2,20,20,10,5,4,23,18,24,18,2019
157,2020/5/11,0.2,20,20,10,5,4,23,18,24,18,2019
158,2020/5/12,0.2,20,20,10,5,4,23,18,24,18,2019
159,2020/5/13,0.2,20,20,10,5,4,23,18,24,18,2019
160,2020/5/14,0.2,20,20,10,5,4,23,18,24,18,2019
161,2020/5/15,0.2,20,20,10,5,4,23,18,24,18,2019
162,2020/5/16,0.2,20,20,10,5,4,23,18,24,18,2019
163,2020/5/17,0.2,20,20,10,5,4,23,18,24,18,2019
164,2020/5/18,0.2,20,20,10,5,4,23,18,24,18,2019
165,2020/5/19,0.2,20,20,10,5,4,23,18,24,18,2019
166,2020/5/20,0.2,20,20,10,5,4,23,18,24,18,2019
167,2020/5/21,0.2,20,20,10,5,4,23,18,24,18,2019
168,2020/5/22,0.2,20,20,10,5,4,23,18,24,18,2019
169,2020/5/23,0.2,20,20,10,5,4,23,18,24,18,2019
170,2020/5/24,0.2,20,20,10,5,4,23,18,24,18,2019
171,2020/5/25,0.2,20,20,10,5,4,23,18,24,18,2019
172,2020/5/26,0.2,20,20,10,5,4,23,18,24,18,2019
173,2020/5/27,0.2,20,20,10,5,4,23,18,24,18,2019
174,2020/5/28,0.2,20,20,10,5,4,23,18,24,18,2019
175,2020/5/29,0.2,20,20,10,5,4,23,18,24,18,2019
176,2020/5/30,0.2,20,20,10,5,4,23,18,24,18,2019
177,2020/5/31,0.2,20,20,10,5,4,23,18,24,18,2019
178,2020/6/1,0.2,20,20,10,5,4,23,18,24,18,2019
179,2020/10/16,0.2,20,20,10,5,4,23,18,24,18,2020
180,2020/10/17,0.2,20,20,10,5,4,23,18,24,18,2020
181,2020/10/18,0.2,20,20,10,5,4,23,18,24,18,2020
182,2020/10/19,0.2,20,20,10,5,4,23,18,24,18,2020
183,2020/10/20,0.2,20,20,10,5,4,23,18,24,18,2020
184,2020/10/21,0.2,20,20,10,5,4,23,18,24,18,2020
185,2020/10/22,0.2,20,20,10,5,4,23,18,24,18,2020
186,2020/10/23,0.2,20,20,10,5,4,23,18,24,18,2020
187,2020/10/24,0.2,20,20,10,5,4,23,18,24,18,2020
188,2020/10/25,0.2,20,20,10,5,4,23,18,24,18,2020
189,2020/10/26,0.2,20,20,10,5,4,23,18,24,18,2020
190,2020/10/27,0.2,20,20,10,5,4,23,18,24,18,2020
191,2020/10/28,0.2,20,20,10,5,4,23,18,24,18,2020
192,2020/10/29,0.2,20,20,10,5,4,23,18,24,18,2020
193,2020/10/30,0.2,20,20,10,5,4,23,18,24,18,2020
194,2020/10/31,0.2,20,20,10,5,4,23,18,24,18,2020
195,2020/11/1,0.2,20,20,10,5,4,23,18,24,18,2020
196,2020/11/2,0.2,20,20,10,5,4,23,18,24,18,2020
197,2020/11/3,0.2,20,20,10,5,4,23,18,24,18,2020
198,2020/11/4,0.2,20,20,10,5,4,23,18,24,18,2020
199,2020/11/5,0.2,20,20,10,5,4,23,18,24,18,2020
200,2020/11/6,0.2,20,20,10,5,4,23,18,24,18,2020
201,2020/11/7,0.2,20,20,10,5,4,23,18,24,18,2020
202,2020/11/8,0.2,20,20,10,5,4,23,18,24,18,2020
203,2020/11/9,0.2,20,20,10,5,4,23,18,24,18,2020
204,2020/11/10,0.2,20,20,10,5,4,23,18,24,18,2020
205,2020/11/11,0.2,20,20,10,5,4,23,18,24,18,2020
206,2020/11/12,0.2,20,20,10,5,4,23,18,24,18,2020
207,2020/11/13,0.2,20,20,10,5,4,23,18,24,18,2020
208,2020/11/14,0.2,20,20,10,5,4,23,18,24,18,2020
209,2020/11/15,0.2,20,20,10,5,4,23,18,24,18,2020
210,2020/11/16,0.2,20,20,10,5,4,23,18,24,18,2020
211,2020/11/17,0.2,20,20,10,5,4,23,18,24,18,2020
212,2020/11/18,0.2,20,20,10,5,4,23,18,24,18,2020
213,2020/11/19,0.2,20,20,10,5,4,23,18,24,18,2020
214,2020/11/20,0.2,20,20,10,5,4,23,18,24,18,2020
215,2020/11/21,0.2,20,20,10,5,4,23,18,24,18,2020
216,2020/11/22,0.2,20,20,10,5,4,23,18,24,18,2020
217,2020/11/23,0.2,20,20,10,5,4,23,18,24,18,2020
218,2020/11/24,0.2,20,20,10,5,4,23,18,24,18,2020
219,2020/11/25,0.2,20,20,10,5,4,23,18,24,18,2020
220,2020/11/26,0.2,20,20,10,5,4,23,18,24,18,2020
221,2020/11/27,0.2,20,20,10,5,4,23,18,24,18,2020
222,2020/11/28,0.2,20,20,10,5,4,23,18,24,18,2020
223,2020/11/29,0.2,20,20,10,5,4,23,18,24,18,2020
224,2020/11/30,0.2,20,20,10,5,4,23,18,24,18,2020
225,2020/12/1,0.2,20,20,10,5,4,23,18,24,18,2020
226,2020/12/2,0.2,20,20,10,5,4,23,18,24,18,2020
227,2020/12/3,0.2,20,20,10,5,4,23,18,24,18,2020
228,2020/12/4,0.2,20,20,10,5,4,23,18,24,18,2020
229,2020/12/5,0.2,20,20,10,5,4,23,18,24,18,2020
230,2020/12/6,0.2,20,20,10,5,4,23,18,24,18,2020
231,2020/12/7,0.2,20,20,10,5,4,23,18,24,18,2020
232,2020/12/8,0.2,20,20,10,5,4,23,18,24,18,2020
233,2020/12/9,0.2,20,20,10,5,4,23,18,24,18,2020
234,2020/12/10,0.2,20,20,10,5,4,23,18,24,18,2020
235,2020/12/11,0.2,20,20,10,5,4,23,18,24,18,2020
236,2020/12/12,0.2,20,20,10,5,4,23,18,24,18,2020
237,2020/12/13,0.2,20,20,10,5,4,23,18,24,18,2020
238,2020/12/14,0.2,20,20,10,5,4,23,18,24,18,2020
239,2020/12/15,0.2,20,20,10,5,4,23,18,24,18,2020
240,2020/12/16,0.2,20,20,10,5,4,23,18,24,18,2020
241,2020/12/17,0.2,20,20,10,5,4,23,18,24,18,2020
242,2020/12/18,0.2,20,20,10,5,4,23,18,24,18,2020
243,2020/12/19,0.2,20,20,10,5,4,23,18,24,18,2020
244,2020/12/20,0.2,20,20,10,5,4,23,18,24,18,2020
245,2020/12/21,0.2,20,20,10,5,4,23,18,24,18,2020
246,2020/12/22,0.2,20,20,10,5,4,23,18,24,18,2020
247,2020/12/23,0.2,20,20,10,5,4,23,18,24,18,2020
248,2020/12/24,0.2,20,20,10,5,4,23,18,24,18,2020
249,2020/12/25,0.2,20,20,10,5,4,23,18,24,18,2020
250,2020/12/26,0.2,20,20,10,5,4,23,18,24,18,2020
251,2020/12/27,0.2,20,20,10,5,4,23,18,24,18,2020
252,2020/12/28,0.2,20,20,10,5,4,23,18,24,18,2020
253,2020/12/29,0.2,20,20,10,5,4,23,18,24,18,2020
254,2020/12/30,0.2,20,20,10,5,4,23,18,24,18,2020
255,2020/12/31,0.2,20,20,10,5,4,23,18,24,18,2020
256,2021/1/1,0.2,20,20,10,5,4,23,18,24,18,2020
257,2021/1/2,0.2,20,20,10,5,4,23,18,24,18,2020
258,2021/1/3,0.2,20,20,10,5,4,23,18,24,18,2020
259,2021/1/4,0.2,20,20,10,5,4,23,18,24,18,2020
260,2021/1/5,0.2,20,20,10,5,4,23,18,24,18,2020
261,2021/1/6,0.2,20,20,10,5,4,23,18,24,18,2020
262,2021/1/7,0.2,20,20,10,5,4,23,18,24,18,2020
263,2021/1/8,0.2,20,20,10,5,4,23,18,24,18,2020
264,2021/1/9,0.2,20,20,10,5,4,23,18,24,18,2020
265,2021/1/10,0.2,20,20,10,5,4,23,18,24,18,2020
266,2021/1/11,0.2,20,20,10,5,4,23,18,24,18,2020
267,2021/1/12,0.2,20,20,10,5,4,23,18,24,18,2020
268,2021/1/13,0.2,20,20,10,5,4,23,18,24,18,2020
269,2021/1/14,0.2,20,20,10,5,4,23,18,24,18,2020
270,2021/1/15,0.2,20,20,10,5,4,23,18,24,18,2020
271,2021/1/16,0.2,20,20,10,5,4,23,18,24,18,2020
272,2021/1/17,0.2,20,20,10,5,4,23,18,24,18,2020
273,2021/1/18,0.2,20,20,10,5,4,23,18,24,18,2020
274,2021/1/19,0.2,20,20,10,5,4,23,18,24,18,2020
275,2021/1/20,0.2,20,20,10,5,4,23,18,24,18,2020
276,2021/1/21,0.2,20,20,10,5,4,23,18,24,18,2020
277,2021/1/22,0.2,20,20,10,5,4,23,18,24,18,2020
278,2021/1/23,0.2,20,20,10,5,4,23,18,24,18,2020
279,2021/1/24,0.2,20,20,10,5,4,23,18,24,18,2020
280,2021/1/25,0.2,20,20,10,5,4,23,18,24,18,2020
281,2021/1/26,0.2,20,20,10,5,4,23,18,24,18,2020
282,2021/1/27,0.2,20,20,10,5,4,23,18,24,18,2020
283,2021/1/28,0.2,20,20,10,5,4,23,18,24,18,2020
284,2021/1/29,0.2,20,20,10,5,4,23,18,24,18,2020
285,2021/1/30,0.2,20,20,10,5,4,23,18,24,18,2020
286,2021/1/31,0.2,20,20,10,5,4,23,18,24,18,2020
287,2021/2/1,0.2,20,20,10,5,4,23,18,24,18,2020
288,2021/2/2,0.2,20,20,10,5,4,23,18,24,18,2020
289,2021/2/3,0.2,20,20,10,5,4,23,18,24,18,2020
290,2021/2/4,0.2,20,20,10,5,4,23,18,24,18,2020
291,2021/2/5,0.2,20,20,10,5,4,23,18,24,18,2020
292,2021/2/6,0.2,20,20,10,5,4,23,18,24,18,2020
293,2021/2/7,0.2,20,20,10,5,4,23,18,24,18,2020
294,2021/2/8,0.2,20,20,10,5,4,23,18,24,18,2020
295,2021/2/9,0.2,20,20,10,5,4,23,18,24,18,2020
296,2021/2/10,0.2,20,20,10,5,4,23,18,24,18,2020
297,2021/2/11,0.2,20,20,10,5,4,23,18,24,18,2020
298,2021/2/12,0.2,20,20,10,5,4,23,18,24,18,2020
299,2021/2/13,0.2,20,20,10,5,4,23,18,24,18,2020
300,2021/2/14,0.2,20,20,10,5,4,23,18,24,18,2020
301,2021/2/15,0.2,20,20,10,5,4,23,18,24,18,2020
302,2021/2/16,0.2,20,20,10,5,4,23,18,24,18,2020
303,2021/2/17,0.2,20,20,10,5,4,23,18,24,18,2020
304,2021/2/18,0.2,20,20,10,5,4,23,18,24,18,2020
305,2021/2/19,0.2,20,20,10,5,4,23,18,24,18,2020
306,2021/2/20,0.2,20,20,10,5,4,23,18,24,18,2020
